Tweet Number,Tweet,Sentiment
1,"#Trump #Debates2020 #BidenHarris2020  From the start of the debate, #Biden coming out like… https://t.co/LpEgSltTAP",Neutral
2,@realDonaldTrump INCITING #Bullshit BY YOUR SUPPORTING PROPAGANDA TV #joebiden #trump #biden #maga #berniesanders #election #donaldtrump #vote #democrats #kamalaharris #politics #voteblue #democrat #blacklivesmatter #usa #republican #covid #bidenharris #bernie #blm #coronavirus #america #BLM https://t.co/58mH9uIHFw,Negative
3,"Give it a rest man, you lost. Just fuck off and leave us all alone #Biden #USElections2020 #trump https://t.co/bfmubujumV",Negative
4,@LandlordMessiah All landlords are #Biden supporting dirtbag centrists. #NoMalarkey,Negative
5,@ThrityUmrigar For many years I worked with this population; men with developmental disabilities including DS and I can say that Biden's reaction is not the norm during a surprise interaction. He is pure acceptance and compassion. #Biden,Positive
6,Just for the record folks - and I think I speak on behalf of MEN : it’s much easier to tuck your shirt in STANDING UP...  I have never and I have never met anyone who had to lie on a bed to do this.  Nice try #RudyGiuliani. This #trumpteam is filled with weirdos.  Vote #joebiden https://t.co/F7CrpbFlOv,Negative
7,"@marcorubio If you choose to, you can try to unify this country. Please work with #JoeBiden to accomplish this.",Neutral
8,Stop the Steal protest at Pennsylvania State Capitol. @abc27News #ABC27News #Election2020 #stopthesteal #Trump #Biden #PA https://t.co/J00aI626kk,Neutral
9,#JoeBidenKamalaHarris2020 ready goes to #WhiteHouse #JoeBiden will win the #USElections with #Kama... https://t.co/pKSHH0zE0o via @weebly,Positive
10,16.20 | 4pm-6pm 313.778.7600  #VoteEarly #vote #VoteBidenHarris2020 #JoeBiden #KamalaHarris #JOEBIDEN2020 https://t.co/RT3ck4K750,Negative
11,#PresidentialDebate2020 #KristenWelker ask #JoeBiden about his son's dealing with #Foreign #Corruption! #AmericanPeople #HaveTheRightToKnow #HunterBidensLaptop #FBI #investigation #Corrupt #business #practice,Negative
12,#voterfraud #ballotfraud #BallotHarvesting #trumpisright #fraud #DemocratsAreDestroyingAmerica #VoteInPerson2020 #Biden #Trump2020 https://t.co/imr4NMWbPg,Negative
13,Habemus potus. Congratulations #JoeBiden #KamalaHarris #USAelection2020,Positive
14,I’m not going to haul! U-haul or there will be legal proceedings! #biden #bidenharis2020 #uhaul https://t.co/a69gI9XCUM,Neutral
15,We caught Sleepy Joe taking a nap today.  #SleepyJoe #JoeBiden #Trump #DonaldTrump @realDonaldTrump @POTUS @DonaldJTrumpJr @EricTrump @IvankaTrump https://t.co/snQlrwG79w,Negative
16,Republicans Vs Democrats Senate Showdown #republicans #democrats #senate #biden #trump #news video→ https://t.co/Bc0x2WBFNs https://t.co/nupq6Wdyjc,Neutral
17,#Biden on the cusp of presidency as count drags on in #Pennsylvania and other battleground states https://t.co/V6eLTB8SEh,Neutral
18,@TeaPainUSA It's trumps dream that we're fighting over him. Loser! #VoterSuppression #GOPCorruptionOverCountry Rot from the Top Down! #VoteThemOut #VoteBlueToSaveAmerica #BidenHarris2020 #Biden,Negative
19,Who are you voting for or who did you vote for? #PresidentialElection2020 #PresidentTrump #DonaldJTrump #Trump2020 #JoeBiden #BidenHarris2020 #Biden2020 #EarlyVoting  #Vote2020,Neutral
20,@CamBoychuk @ChrisCuomo Neither is spelling apparently and no one cares if he is there.  #MAGATears  #TrumpIsLosing #Election2020results #ByeByeTrump #BidenHarris2020 #TheMandalorian #COVID19 #JoeBiden #MAGA2020 #JOEBIDEN2020 #CallTheRace #ByeByeTrump,Negative
21,Count at 1015a MST PA: #Biden - 3302987 #Trump - 3293235 (9752) GA: Biden - 2450154 Trump - 2448570 (1584) NV: Biden - 626211 Trump 605669 (20542) AZ: Biden - 1561147 Trump 1517368 (43779) #ElectionResults #TrumpIsLosing #Election2020 #ElectionResults2020 https://t.co/5c4B0HK8ZH,Neutral
22,#JoeBiden to visit Warm Springs one week ahead of Election Day https://t.co/UMrnL4aiho,Neutral
23,Why were the #Trump supporters who blocked the road &amp; intimidated the #Biden bus not arrested and locked up. They are thugs who risked other people's lives.,Negative
24,"As a Republican I can stand here today and say, congratulations @JoeBiden I hope the party’s come together for one big bash of America fun! #JoeBiden #republican #Democrat #America  #linvest #stockmarket",Positive
25,彰化超狂女董「川普當選放10天假、拜登贏放喪假」，《蘋果》起底！公司竟停工中 #台新環保科技 #川粉  #美國大選 #美國大選2020 #川普 #donaldtrump #拜登 #JoeBiden #台灣 #台湾 #Taiwan #대만 #蘋果新聞網 #appledailytw #appledaily →→https://t.co/ZTcMJWjglr https://t.co/5fXXgeG26x,Neutral
26,@ericswalwell 🤮Senator Johnson is a Russian puppet. We have no proof but people are saving.  #draintheswamp🇺🇸 #criminal #crimefamily #news #traitor #traitortrump #moscow #moscowmitch #bannon #prizon #resit #divorcetrump #trump #joebiden #biddenharris2020 #randyrainbow,Negative
27,"Human lives &gt; than the economy! If everyone is dead, who will be working to stimulate the economy 🤔 #BM4F #LeadFreeUSA #YoungGiftedGreen #Debates2020 #PresidentialDebate2020 #Biden #Trump",Positive
28,Airspace now restricted over #JoeBiden’s home: CNN reports,Neutral
29,"@esaagar Both have path to victory -- BUT Biden has more options  IF he wins MI, WI, and PA -- which he has inside track on, it's 271  Trump has to win one of those and win NC (which he has lead in)  #Biden #Election2020 #KeepTheFaith",Neutral
30,#JoeBiden what we have to look forward too. https://t.co/Hn5NZmCGec,Neutral
31,I’d rather hear @JoeBiden during inauguration 2021. #BidenHarris2020 #Biden #BidenCares #BLM,Positive
32,IF YOU BELIEVE #JoeBiden WHEN HE SAYS THAT BLUE STATES ARE DOING WORSE THAN RED STATES SO #Trump2020  DOESNT CARE ABOUT YOU THAN YOU ARE BRAINWASHED #TRUMP2020ToSaveAmerica,Negative
33,@RepDougCollins @realDonaldTrump No he didn't he rode @BarackObama coattails  #Obama fixed economy last #Republican president broke. #JoeBiden will have clean up after #trump #Republican disaster  #BlueWave2020 #BidenHarris2020 #FlipTheSenate,Negative
34,#Biden #Trump #California #Hollywood #USA https://t.co/OH7DXyIbEt,Neutral
35,"The flurry of #Biden Executive Orders restoring  norms and decency is about to make your head spin.  Paris Climate Accord, World Health Org, Muslim Ban reversal, DACA ...  What else do we need, want and demand in the first 100 days?  #BidenHarris2020",Positive
36,"@ABCNetwork @nytimes @NewYorker @sarahcpr @CNN #Bannon: Seen this👇, #potus? Bad #Trump: Ratings r overrated #SloppySteve. So it's not bad at all. Rallies r the real deal. #Biden sucks at them: I rock #Bannon: People r saying it's as bad as if #Biden's sleepy P**** is 3X longer than yr erect M*******😭 https://t.co/BimwgSy0F3 https://t.co/K99XmXaZSB",Negative
37,"#JoeBiden is making the world sound pretty sour.  But, remind me again, how much territory does #ISIS have now?  #ABCTownHall",Neutral
38,"Hello Twitter friends, can we keep Kamala Harris out of power because she's a person of colour? Can she be replaced by a person of white? #Trump2020 #Trump #Biden #PeopleOfWhite",Negative
39,"#Biden takes the lead in #Georgia, a traditionally red state, and is gaining on #Trump in #Pennsylvania . #Election2020 #ElectionResults2020 https://t.co/2D5zMPmnqo",Positive
40,Behind the scenes on @TRTWorld | #Biden wins &amp; the world reacts https://t.co/89dOTXFFoP,Neutral
