Tweet Number,Tweet,Sentiment
1,"CLAIMS MANAGEMENT AND PROFITABILITY OF INSURANCE COMPANIES IN NIGERIA. https://t.co/zpDkOlvJRA  For more topics and materials, visit, https://t.co/C8AkHMJloH #Trump https://t.co/fcQ1CnazJr",Neutral
2,I bet @JoeBiden is ahead in the polls and #Trump hasn’t denounced White Supremacy. https://t.co/QOqqpwMGMl,Negative
3,​#MCCONELL VS #TRUMP 🎥 #LALATE 💜 #PURPLEPOWER  💜 #SEATS4STIMULUS  🗳️ #IAMVALUED 💵 #MSC 8,Positive
4,"@KamalaHarris Aaaaargh! Matey! ""We've got an #Arizona-style harpoon stuck in the demon whale #Trump! He's a-fight'n hard, try'n to spit the 'poon out at the feet of the #American people! But, we're not gonna let him, are we!""~ Daniel Day Lewis, #Lincoln, #2012 #JusticeMatters #BlueTsunami https://t.co/566FomTM0o",Neutral
5,"Seemingly #BarackObama and #DonaldTrump tried bluff to stay their military units where the are. But Japanese continually failed for least dozen decades, within graces of united businesses. For foreign league, they are ""The Taken King."" https://t.co/qL6OmQBI3t",Neutral
6,"Not every #Trump supporter is a #racist, but every racist is a Trump supporter. Surprising? 🧐",Negative
7,It's not over for Trump: CNN has zero authority - Jericho Marches and Ro... https://t.co/pM1MxBGytN via @YouTube #GullibleWhiteMaleTrumpVoters #JewsForTrump #ArmyForTrump #BoycottFoxNews #2020ElectionThoughts #BlackTwitter #CandaceOwens #DonaldTrump,Neutral
8,#trump #maga2020 #trumppence #teamtrump President Trump Rally In North Carolina! https://t.co/K5PmVfINHL,Positive
9,Anyone else thinking Melania's in for a bit of shock in about 6 months when she finds out her ex-meal ticket is actually worth nothing? #Trump #MelaniaTrump,Negative
10,#Trump is running against: @BernieSanders @SpeakerPelosi @HillaryClinton #HunterBiden @BarackObama,Neutral
11,"@realDonaldTrump  Lousy President,  it worse person.  This guy is a piece of crap.  He’s more concerned about his image &amp; being re-elected (delaying criminal prosecution) than about the life of the Americans he leads.  #TrumpIsLosing #Trump2020 #Trump #COVID19 #SundayThoughts https://t.co/W1zkmiFMp8",Negative
12,@iSushilMaurya @dsinghattri 4:56:37 PM Remov horrible pic of God👉PLS Sign Petition🙏15k+ signd☑️ 👉https://t.co/jRB9ovVddr  #Atheists_Go_To_China #parisbeheading #RSS #BJP #Trump #BiggBoss4Telugu  #BiggBoss4Telugu #BiggBossTelugu4 #BBTamilSeason4 #BiggBossTamil4 #BiggBoss4Tamil  https://t.co/feoPnkFzHv,Neutral
13,"Never forget how terrified #Trump is of losing.  He knows he’s probably going to jail, and some of his family with him, if all the votes are fairly counted.  #uspoli #america",Negative
14,"@NBCNews Both, Donald &amp; Melania #Trump, deny knowing those that are narrating their experiences with them. What they cannot deny is their words, their voice or what they are saying. Both are deniers &amp; bullies. #uspoli #uspolitics",Negative
15,Gardeners World appears to have grown a #Trump #pumpkin. https://t.co/F73oLXka8Z,Neutral
16,@356tub @kayleighmcenany @realDonaldTrump @IvankaTrump #tRump is owned by anyone who will pay. #TrumpIsCompromised,Negative
17,"How is it we can even have a chance to vote for an impeached president?  Oh I get it , he’s going for treason which carries the death penalty!!  Oh of course....he’s the biggest best winner ever in the history of mankind.  He’s done more for Christianity than Jesus did. #Trump",Negative
18,If you're in line to #vote this #ElectionDay STAY IN LINE no matter how long the wait. #Trump was given a 14% chance of winning in 2016. #Vote2020 for #Trump2020 #MAGA https://t.co/Y2r4IZN1iX,Positive
19,#ItsBeenProvenThat @realDonaldTrump is a jerk!  #DONALTRUMP #TRUMP #JERK #IDIOT '#PRESIDAENT,Negative
20,Rachel #Maddow takes a dump on Donald #Trump’s disastrous #NBC #townhall https://t.co/eYsfvYkuwV via @PalmerReport,Negative
21,Hope he can afford a bus for you. #TrumpCheats #Trump https://t.co/WenhOOsRTB,Negative
22,"#Trump doesn’t care If #Seniors/#OlderPeople are #Killed by #COVID19  Many comments indicate they, #Minorities &amp; people w #Disabilities are to be disregarded in plans to #OpenUp &amp; #Protect communities from #CoronaVirus #Infections. We #Vote    too!  #Ohio #Athens #Kent #Elyria https://t.co/Whvm2ct5zD",Negative
23,Who won the debate? #2020debate #Debate2020 #debate #trump #Biden #Election2020 #election #MAGA #BuildBackBetter #trump2020 #biden2020 RETWEET TO SPREAD POLL,Neutral
24,@thomaskaine5 No - but #Trump's lies per minute are up.,Negative
25,@50cent This can easily be most persuasive ad for #Trump campaign to explain to people about to high taxes under Biden and what it will do.,Neutral
26,When everywhere you go in #MiamiDadeFlorida you see #Trump signs #LatinosForTrump https://t.co/fei1qq9NgA,Positive
27,"@nytimes @Politics_PR I don't get #Iran hacking its way to a #Trump victory, it hasn't served the country well in fact it's been bloody awful with him as #POTUS.",Negative
28,"To Survive...is Based on Survival https://t.co/4Smu95FLLm via @darkqueenvee Heyy guys kindly visit my featured blog,read,comment,like,share and retweet.Exarry!!! Thank you! #Trump #JoeBiden #USElection2020",Neutral
29,@havocszn @vShilzy @texzyyy @yoDqme @hystwtf @AyyScorch #lgbtq #trump #iraq,Neutral
30,RT #JoeBiden #KamalaHarris #BidenHarris2020 #Democrats #DonaldTrump #MikePence #Republicans #Covid19 #coronavirus https://t.co/68aTBNpRlm,Neutral
31,White House staffers busy deleting everything now... #TrumpvsBiden #trump #USElections2020 https://t.co/ULLjDXOk6s,Neutral
32,Make sure to be following https://t.co/jOOqYXO0aa for the latest reports on how the #US #Elections2020  will affect #Israel and the #Jewish world.. #USElections2020  #USPresidentialElections2020 #Trump #Biden  🇺🇸🇮🇱 https://t.co/62KXUCN8dF,Neutral
33,Definitely the smartest President in history... 😱🤯🤕🤭 #Trump #VoteHimOut #VoteBidenHarris2020 #VoteBidenHarrisToSaveAmerica https://t.co/d4vAdr1POl,Negative
34,Not gonna lie I did NOT see this coming!!! #FinsUp #TuaTime #Dolphins #USA #Trump #Biden https://t.co/Z0rQFlmMqS,Neutral
35,Biden officially beats Trump. Bye Bye Donnie Dickhead!! #Trump #Election2020results,Negative
